
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
NEW       38-043137 O US ND CENTER           47 10 31.66N 101 28 24.63W WINDMILL           1 00502 02671 W 4 D W 2022WTE01046OE C2025288 
ADD       38-043141 O US ND OLIVER           47 07 09.54N 101 26 22.29W WINDMILL           1 00502 02658 W 4 D W 2022WTE01056OE A2025263 
OLD       38-043142 U US ND CENTER           47 07 50.14N 101 27 21.38W WINDMILL           1 00599 02782 W 4 D W 2022WTE01057OE A2025204 
NEW       38-043142 O US ND CENTER           47 07 50.13N 101 27 21.40W WINDMILL           1 00502 02683 W 4 D W 2022WTE01057OE C2025293 
OLD       38-043143 U US ND CENTER           47 08 15.76N 101 27 35.32W WINDMILL           1 00599 02808 W 4 D W 2022WTE01058OE A2025204 
NEW       38-043143 O US ND CENTER           47 08 15.75N 101 27 35.30W WINDMILL           1 00502 02714 W 4 D W 2022WTE01058OE C2025288 
OLD       38-043144 U US ND CENTER           47 11 17.79N 101 27 25.46W WINDMILL           1 00599 02797 W 4 D W 2022WTE01059OE A2025204 
NEW       38-043144 O US ND CENTER           47 11 17.77N 101 27 25.47W WINDMILL           1 00502 02701 W 4 D W 2022WTE01059OE C2025288 
OLD       38-043145 U US ND CENTER           47 11 13.04N 101 26 04.30W WINDMILL           1 00599 02777 W 4 D W 2022WTE01060OE A2025204 
NEW       38-043145 O US ND CENTER           47 11 13.03N 101 26 04.32W WINDMILL           1 00502 02681 W 4 D W 2022WTE01060OE C2025288 
OLD       38-043146 U US ND CENTER           47 10 32.22N 101 26 26.20W WINDMILL           1 00599 02761 W 4 D W 2022WTE01061OE A2025204 
NEW       38-043146 O US ND CENTER           47 10 32.22N 101 26 26.21W WINDMILL           1 00502 02667 W 4 D W 2022WTE01061OE C2025288 
OLD       38-043147 U US ND CENTER           47 10 28.60N 101 25 56.12W WINDMILL           1 00599 02765 W 4 D W 2022WTE01062OE A2025204 
NEW       38-043147 O US ND CENTER           47 10 28.59N 101 25 56.11W WINDMILL           1 00487 02649 W 4 D W 2022WTE01062OE C2025288 
OLD       38-043148 U US ND CENTER           47 12 29.25N 101 29 14.31W WINDMILL           1 00599 02741 W 4 D W 2022WTE01094OE A2025204 
NEW       38-043148 O US ND CENTER           47 12 29.25N 101 29 14.31W WINDMILL           1 00502 02640 W 4 D W 2022WTE01094OE C2025263 
OLD       38-043149 U US ND CENTER           47 07 00.51N 101 32 24.45W WINDMILL           1 00599 02843 W 4 D W 2023WTE05080OE A2025204 
NEW       38-043149 O US ND CENTER           47 07 00.49N 101 32 24.47W WINDMILL           1 00502 02739 W 4 D W 2023WTE05080OE C2025293 
OLD       38-043150 U US ND CENTER           47 07 56.54N 101 33 55.63W WINDMILL           1 00599 02751 W 4 D W 2023WTE05081OE A2025204 
NEW       38-043150 O US ND CENTER           47 07 56.55N 101 33 55.63W WINDMILL           1 00502 02657 W 4 D W 2023WTE05081OE C2025293 
ADD       38-043162 U US ND CASSELTON        46 53 39.16N 097 14 03.84W BLDG               1 00120 01059 N 4 D N 2022AGL25354OE A2025262 
ADD       38-043623 O US ND PASSPORT         48 20 18.08N 101 55 13.29W TOWER              1 00315 02531 D 1 A N 2023AGL21207OE A2025263 
ADD       38-044008 O US ND WEST OLIVER      47 08 48.90N 101 31 51.01W TOWER              1 00315 02463 D 1 A N 2023AGL15209OE A2025263 
ADD       38-044020 O US ND CARRINGTON       47 27 04.09N 099 07 47.07W TOWER              1 00101 01687 N 4 D N 2024AGL07669OE A2025263 
OLD       38-044030 U US ND FARGO            46 55 57.17N 096 50 56.55W SIGN               1 00030 00932 U 4 D U 2022AGL06214OE A2024235 
NEW       38-044030 U US ND FARGO            46 55 57.17N 096 50 56.55W SIGN               1 00030 00939 N 4 D N 2024AGL11464OE C2025263 
ADD       38-044043 O US ND CENTER           47 10 47.31N 101 32 18.28W WINDMILL           1 00502 02645 W 4 D W 2022WTE01092OE A2025263 
ADD       38-044054 O US ND CENTER           47 11 32.98N 101 30 52.53W WINDMILL           1 00502 02621 W 4 D W 2022WTE01016OE A2025262 
ADD       38-044062 O US ND CENTER           47 11 20.89N 101 31 02.89W WINDMILL           1 00502 02629 W 4 D W 2022WTE01015OE A2025264 
ADD       38-044063 O US ND CENTER           47 10 16.35N 101 36 41.66W WINDMILL           1 00502 02616 W 4 D W 2022WTE01090OE A2025263 
ADD       38-044067 O US ND CENTER           47 09 09.40N 101 36 46.45W WINDMILL           1 00502 02613 W 4 D W 2023WTE05078OE A2025263 
ADD       38-044108 O US ND CENTER           47 08 16.99N 101 35 27.72W WINDMILL           1 00502 02620 W 4 D W 2022WTE00975OE A2025277 
ADD       38-044110 O US ND CENTER           47 11 08.76N 101 30 23.59W WINDMILL           1 00502 02639 W 4 D W 2022WTE01018OE A2025277 
ADD       38-044111 O US ND CENTER           47 08 17.83N 101 34 44.75W WINDMILL           1 00502 02627 W 4 D W 2023WTE05079OE A2025280 
ADD       38-044135 O US ND CENTER           47 07 47.82N 101 36 31.10W WINDMILL           1 00502 02583 W 4 D W 2022WTE00969OE A2025263 
ADD       38-044136 O US ND CENTER           47 08 45.12N 101 36 41.70W WINDMILL           1 00502 02631 W 4 D W 2022WTE00970OE A2025263 
ADD       38-044154 O US ND CENTER           47 09 53.15N 101 28 53.00W WINDMILL           1 00502 02641 W 4 D W 2022WTE01044OE A2025263 
ADD       38-044163 O US ND SPRINGBROOK      48 17 36.33N 103 28 33.06W TOWER              1 00250 02515 D 4 D N 2024AGL01033OE A2025263 
ADD       38-044195 O US ND BEULAH           47 17 45.37N 101 47 49.53W TOWER              1 00205 02232 D 1 A N 2024AGL05474OE A2025263 
ADD       38-044204 O US ND CENTER           47 07 27.39N 101 36 44.53W MET                1 00300 02336 D 4 D N 2023WTE04903OE A2025263 
ADD       38-044216 U US ND LAKOTA           48 02 22.33N 098 20 49.70W SILO               1 00151 01668 N 4 D N 2023AGL12938OE A2025289 
ADD       38-044221 U US ND FARGO            46 54 00.77N 096 48 06.83W TOWER              1 00100 00997 R 4 D N 2024AGL14600OE A2025263 
ADD       38-044291 O US ND CENTER           47 07 41.59N 101 34 13.85W WINDMILL           1 00487 02625 W 4 D W 2022WTE00981OE A2025263 
ADD       38-044296 O US ND EMERADO          47 56 48.44N 097 20 45.87W TOWER              1 00169 01042 N 1 A N 2025AGL02867OE A2025263 
ADD       38-044369 U US ND KILLDEER         47 24 45.18N 102 46 00.63W T-L TWR            1 00080 02414 N 4 D N 2023AGL22728OE A2025269 
ADD       38-044370 U US ND KILLDEER         47 24 50.60N 102 46 01.57W T-L TWR            1 00090 02418 N 4 D N 2023AGL22729OE A2025297 
ADD       38-044371 U US ND KILLDEER         47 24 57.36N 102 46 08.32W T-L TWR            1 00096 02421 N 4 D N 2023AGL22730OE A2025297 
ADD       38-044372 U US ND KILLDEER         47 25 08.11N 102 46 08.26W T-L TWR            1 00096 02430 N 4 D N 2023AGL22731OE A2025297 
ADD       38-044373 U US ND KILLDEER         47 25 18.77N 102 46 08.19W T-L TWR            1 00091 02440 N 4 D N 2023AGL22732OE A2025297 
ADD       38-044374 U US ND KILLDEER         47 25 26.96N 102 46 08.14W T-L TWR            1 00087 02449 N 4 D N 2023AGL22733OE A2025297 
ADD       38-044375 U US ND KILLDEER         47 25 34.99N 102 46 08.09W T-L TWR            1 00133 02459 N 4 D N 2023AGL22734OE A2025297 
ADD       38-044427 U US ND WISHEK           46 16 12.14N 099 29 13.12W MET                1 00350 02468 D 4 D N 2024WTE00929OE A2025263 
ADD       38-044501 U US ND WISHEK           46 12 17.06N 099 34 28.48W MET                1 00350 02472 D 4 D N 2024WTE00927OE A2025263 
ADD       38-044520 U US ND WISHEK           46 12 15.32N 099 34 42.71W MET                1 00350 02478 D 4 D N 2024WTE00926OE A2025263 
ADD       38-044521 U US ND WISHEK           46 16 09.18N 099 29 19.49W MET                1 00350 02451 D 4 D N 2024WTE00928OE A2025263 
ADD       38-044522 O US ND BEACH            46 55 12.61N 103 59 51.14W TOWER              1 00064 02865 N 1 A N 2025AGL07957OE A2025263 
ADD       38-044523 O US ND GRAFTON          48 24 43.07N 097 24 30.78W TOWER              1 00171 01000 N 2 C N 2025AGL07098OE A2025263 
ADD       38-044524 U US ND WAFFORD CITY     47 45 43.16N 103 14 07.32W TOWER              1 00080 02419 R 4 D P 2025AGL07973OE A2025263 
OLD       39-000082 O US OH AKRON            41 01 19.58N 081 30 14.38W TOWER              2 00305 01343 R 1 A M                C2013263 
NEW       39-000082 O US OH AKRON            41 01 19.58N 081 30 14.40W TOWER              1 00305 01343 R 1 A P 2024AGL16634OE C2025294 
OLD       39-000149 O US OH SWANTON          41 33 33.87N 083 49 26.89W TOWER              1 00205 00884 D 1 A N 2014AGL08665OE C2015293 
NEW       39-000149 O US OH SWANTON          41 33 33.87N 083 49 26.89W TOWER              1 00207 00886 D 1 A N 2025AGL07256OE C2025263 
OLD       39-000151 O US OH PORT WASHINGTON  40 18 42.66N 081 28 16.38W TOWER              1 00260 01608 M 2 C N 2015AGL05192OE C2018057 
NEW       39-000151 O US OH PORT WASHINGTON  40 18 42.66N 081 28 16.38W TOWER              1 00272 01620 M 2 C N 2025AGL04117OE C2025263 
OLD       39-000260 O US OH PEDRO            38 42 29.97N 082 40 14.85W TOWER              1 00233 01273 D 4 D N 2013AGL03099OE C2013254 
NEW       39-000260 O US OH PEDRO            38 42 29.97N 082 40 14.85W TOWER              1 00239 01279 D 4 D N 2024AGL16389OE C2025263 
OLD       39-000329 O US OH BROOKSIDE        40 03 43.23N 080 45 29.23W TOWER              1 00314 01599 M 1 D N 2012AGL02150OE C2012165 
NEW       39-000329 O US OH BRIDGEPORT       40 03 43.23N 080 45 29.23W TOWER              1 00296 01581 M 1 D N 2024AGL17330OE C2025263 
OLD       39-000331 O US OH URBANA           40 06 12.90N 083 42 48.50W TOWER              1 00280 01455 D 4 D N 2021AGL27717OE C2022094 
NEW       39-000331 O US OH URBANA           40 06 12.90N 083 42 48.50W TOWER              1 00280 01455 D 2 C N 2021AGL27717OE C2025273 
OLD       39-000564 O US OH CUYAHOGA FALLS   41 08 44.00N 081 30 38.00W STACK              1 00500 01541 R 4 D P 2023AGL06274OE C2023195 
NEW       39-000564 O US OH CUYAHOGA FALLS   41 08 45.50N 081 30 38.40W STACK              1 00500 01541 R 4 D P 2025AGL07632OE C2025263 
OLD       39-001399 O US OH WARRENSVILLE     41 26 53.00N 081 30 15.00W TOWER              1 00294 01541 R 5 D M 1997AGL02549OE C2014152 
NEW       39-001399 O US OH BEACHWOOD        41 26 51.78N 081 30 16.47W TOWER              1 00294 01544 D 4 D N 2025AGL00309OE C2025263 
OLD       39-001472 O US OH OAK HARBOR       41 29 16.00N 083 08 57.00W TOWER              1 00232 00818 D 2 C N 2014AGL09835OE C2014322 
NEW       39-001472 O US OH OAK HARBOR       41 29 16.00N 083 08 57.00W TOWER              1 00226 00812 R 2 C P 2025AGL04218OE C2025263 
OLD       39-001533 O US OH CIRCLEVILLE      39 35 09.20N 082 56 33.70W TOWER              1 00206 00906 D 1 A N 2004AGL00294OE C2012167 
NEW       39-001533 O US OH CIRCLEVILLE      39 35 09.20N 082 56 33.70W TOWER              1 00209 00909 D 1 A N 2024AGL13462OE C2025263 
OLD       39-001870 O US OH SPRINGBORO       39 32 54.42N 084 09 40.49W TOWER              1 00298 01334 D 4 D N 2020AGL16762OE C2020282 
NEW       39-001870 O US OH WAYNESVILLE      39 32 54.42N 084 09 40.49W TOWER              1 00290 01326 D 4 D N 2024AGL14427OE C2025263 
OLD       39-001873 O US OH COLUMBUS         40 00 50.00N 083 05 40.00W TOWER              1 00314 01124 D 5 D N 2011AGL07008OE C2012083 
NEW       39-001873 O US OH COLUMBUS         40 00 52.00N 083 05 40.40W TOWER              1 00314 01124 D 4 D N 2025AGL03899OE C2025263 
OLD       39-001990 O US OH PORT CLINTON     41 34 30.00N 082 50 49.00W TOWER              1 00260 00866 D 2 C N 2023AGL08877OE C2023236 
NEW       39-001990 O US OH PORT CLINTON     41 34 30.00N 082 50 49.00W TOWER              1 00259 00865 D 2 C N 2025AGL02316OE C2025263 
OLD       39-002076 O US OH MOUNT VERNON     40 25 31.88N 082 28 20.86W TOWER              1 00418 01569 L 4 E P 2014AGL12572OE C2018205 
NEW       39-002076 O US OH MOUNT VERNON     40 25 31.88N 082 28 20.86W TOWER              1 00415 01566 D 4 D N 2025AGL02363OE C2025263 
OLD       39-002105 O US OH MILLERSBURG      40 33 05.00N 081 51 09.00W TOWER              1 00416 01626 D 4 D N 2015AGL05943OE C2023291 
NEW       39-002105 O US OH MILLERSBURG      40 33 05.09N 081 51 08.42W TOWER              1 00405 01619 D 4 D N 2025AGL01453OE C2025263 
OLD       39-002253 O US OH LORAIN           41 25 40.00N 082 07 17.00W TOWER              1 00267 00912 D 5 D N 2000AGL04972OE C2014152 
NEW       39-002253 O US OH LORAIN           41 25 40.00N 082 07 17.00W TOWER              1 00251 00897 D 4 D N 2025AGL00391OE C2025263 
OLD       39-002393 O US OH WOODVILLE        41 25 41.00N 083 20 28.00W TOWER              1 00219 00864 R 5 D M 1996AGL02903OE C2014152 
NEW       39-002393 O US OH WOODVILLE        41 25 40.60N 083 20 27.50W TOWER              1 00200 00848 N 4 D N 2024AGL16384OE C2025263 
OLD       39-002517 O US OH LEBANON          39 24 18.01N 084 10 59.77W TOWER              1 00209 01044 D 1 A N 2013AGL08236OE C2013268 
NEW       39-002517 O US OH LEBANON          39 24 18.01N 084 10 59.77W TOWER              1 00208 01043 D 1 A N 2024AGL15278OE C2025263 
OLD       39-002544 O US OH RICHMONDALE      39 08 51.19N 082 47 58.61W TOWER              1 00313 01340 D 1 A N 2004AGL07580OE C2015163 
NEW       39-002544 O US OH CHILLICOTHE      39 08 51.19N 082 47 58.61W TOWER              1 00313 01340 D 1 A N 2025AGL00429OE C2025263 
OLD       39-002568 U US OH MARYSVILLE       40 11 48.00N 083 16 38.00W TOWER              1 00228 01210 R 4 D M 1997AGL03964OE C2014124 
NEW       39-002568 O US OH MARYSVILLE       40 11 47.70N 083 16 38.20W TOWER              1 00224 01205 D 2 C N 2023AGL00482OE C2025263 
OLD       39-002570 O US OH REDHAW           40 54 43.00N 082 08 34.00W TOWER              1 00415 01621 D 2 C N 2021AGL20635OE C2021307 
NEW       39-002570 O US OH REDHAW           40 54 43.00N 082 08 34.00W TOWER              1 00408 01614 D 2 C N 2025AGL02695OE C2025263 
OLD       39-002580 O US OH CUYAHOGA FALLS   41 09 40.00N 081 30 48.00W TOWER              1 00265 01261 D 5 D N 2000AGL02393OE C2014152 
NEW       39-002580 O US OH CUYAHOGA FALLS   41 09 39.57N 081 30 47.93W TOWER              1 00265 01252 D 4 D N 2022AGL11805OE C2025263 
OLD       39-002640 O US OH MT. GILEAD       40 33 57.00N 082 48 00.00W TOWER              1 00410 01623 D 2 C N 2007AGL01134OE C2007133 
NEW       39-002640 O US OH MT. GILEAD       40 33 56.24N 082 48 01.24W TOWER              1 00410 01623 D 4 D N 2024AGL16793OE C2025263 
OLD       39-002855 O US OH WEST ALEXANDRIA  39 45 11.00N 084 27 53.00W TOWER              1 00406 01380 D 5 D M 1998AGL04676OE C2001071 
NEW       39-002855 O US OH WEST ALEXANDRIA  39 45 10.98N 084 27 52.55W TOWER              1 00407 01381 D 4 D N 2024AGL16328OE C2025263 
OLD       39-003077 O US OH COSHOCTON        40 20 45.00N 082 03 54.00W TOWER              1 00420 01519 D 5 E N 1999AGL05080OE C2003012 
NEW       39-003077 O US OH WARSAW           40 20 46.25N 082 03 53.00W TOWER              1 00403 01492 D 4 D N 2024AGL16264OE C2025263 
OLD       39-003274 O US OH CLEVELAND        41 28 43.60N 081 45 45.80W TOWER              1 00168 00875 N 4 D N 2016AGL02641OE C2017199 
NEW       39-003274 O US OH CLEVELAND        41 28 43.60N 081 45 45.80W TOWER              1 00161 00868 N 4 D N 2025AGL06231OE C2025263 
OLD       39-003381 U US OH BYHALIA          40 26 41.00N 083 27 13.00W TOWER              1 00410 01443 D 4 D N 2001AGL03794OE C2014124 
NEW       39-003381 O US OH RICHWOOD         40 26 40.99N 083 27 13.48W TOWER              1 00406 01439 D 4 D N 2024AGL15499OE C2025263 
OLD       39-003499 O US OH RUSHSYLVANIA     40 27 46.75N 083 41 30.63W TOWER              1 00340 01580 D 2 C N 2011AGL03899OE C2013079 
NEW       39-003499 O US OH RUSHSYLVANIA     40 27 46.75N 083 41 30.63W TOWER              1 00333 01573 D 2 C N 2024AGL16268OE C2025263 
OLD       39-003534 U US OH COOLVILLE        39 13 44.00N 081 46 32.00W TOWER              1 00269 01073 D 4 D N 2000AGL07062OE C2014124 
NEW       39-003534 O US OH COOLVILLE        39 13 44.47N 081 46 32.04W TOWER              1 00267 01075 D 4 D N 2024AGL16569OE C2025262 
OLD       39-003613 U US OH JEROMESVILLE     40 44 57.00N 082 11 28.00W TOWER              1 00269 01525 D 4 D N 2000AGL09810OE C2014124 
NEW       39-003613 O US OH JEROMESVILLE     40 44 56.83N 082 11 28.46W TOWER              1 00270 01526 D 2 C N 2024AGL16134OE C2025262 
OLD       39-003759 O US OH NEW MIDDLE       40 57 59.82N 080 38 17.94W TOWER              1 00138 01332 N 2 C N 2007AGL01953OE C2012291 
NEW       39-003759 O US OH BEVAER CITY      40 57 59.82N 080 38 17.94W TOWER              1 00141 01335 N 2 C N 2025AGL00214OE C2025263 
OLD       39-003765 U US OH NEWPORT          39 23 42.00N 081 15 00.00W TOWER              1 00299 01242 D 4 D N 2001AGL03151OE C2014124 
NEW       39-003765 O US OH NEWPORT          39 23 41.98N 081 15 00.36W TOWER              1 00294 01237 D 4 D N 2025AGL00389OE C2025263 
OLD       39-004020 U US OH MORROW           39 20 04.19N 084 07 31.77W TOWER              1 00233 01033 D 4 D N 2004AGL03236OE C2014124 
NEW       39-004020 O US OH MORROW           39 20 03.20N 084 07 32.45W TOWER              1 00199 00999 D 2 C N 2024AGL10783OE C2025262 
OLD       39-004188 O US OH CAMBRIDGE        40 00 50.80N 081 30 23.89W TOWER              1 00300 01323 D 2 C N 2004AGL06964OE C2013030 
NEW       39-004188 O US OH CAMBRIDGE        40 00 50.80N 081 30 23.89W TOWER              1 00301 01324 D 2 C N 2025AGL01398OE C2025263 
OLD       39-004220 O US OH BELLE VALLEY     39 46 15.76N 081 33 08.32W TOWER              1 00256 01156 D 5 E N 2005AGL06413OE C2011091 
NEW       39-004220 O US OH CALDWELL         39 46 15.76N 081 33 08.32W TOWER              1 00255 01155 D 4 D N 2025AGL00181OE C2025263 
OLD       39-004229 O US OH HILLSBORO        39 12 43.19N 083 35 35.45W TOWER              1 00265 01381 D 1 A N 2005AGL07557OE C2013028 
NEW       39-004229 O US OH HILLSBORO        39 12 43.19N 083 35 35.45W TOWER              1 00265 01381 D 1 A N 2024AGL13461OE C2025263 
OLD       39-020091 O US OH RIO GRANDE       38 53 22.25N 082 22 37.98W TOWER              1 00315 01078 D 4 D N 2019AGL06527OE C2019357 
NEW       39-020091 O US OH RIO GRANDE       38 53 22.30N 082 22 38.00W TOWER              1 00315 01078 D 4 D N 2024AGL14073OE C2025263 
OLD       39-020141 O US OH MANSFIELD        40 47 09.99N 082 33 30.88W TOWER              1 00267 01564 D 1 A N 2008AGL04526OE C2009135 
NEW       39-020141 O US OH MANSFIELD        40 47 09.99N 082 33 30.88W TOWER              1 00256 01553 D 1 A N 2024AGL13030OE C2025263 
OLD       39-020179 O US OH MANCHESTER       38 41 39.19N 083 37 33.50W TOWER              1 00310 01213 D 5 E N 2007AGL01511OE C2011062 
